Date,Home,Away,HomeScore,AwayScore,Winner
11/13/2024,COL,LAK,4,2,COL
11/13/2024,ANA,VGK,2,3,VGK
11/14/2024,OTT,PHI,4,5,PHI
11/14/2024,TBL,WPG,4,1,TBL
11/14/2024,FLA,NJD,2,6,NJD
11/14/2024,NYR,SJS,3,2,NYR
11/14/2024,BUF,STL,4,3,BUF
11/14/2024,DAL,BOS,7,2,DAL
11/14/2024,MIN,MTL,3,0,MIN
11/14/2024,EDM,NSH,3,2,EDM
11/14/2024,VAN,NYI,2,5,NYI
11/14/2024,SEA,CHI,3,1,SEA
11/15/2024,CBJ,PIT,6,2,CBJ
11/15/2024,COL,WSH,2,5,WSH
11/15/2024,CGY,NSH,2,0,CGY
11/15/2024,UTA,VGK,2,4,VGK
11/15/2024,ANA,DET,6,4,ANA
11/16/2024,BOS,STL,2,3,STL
11/16/2024,SEA,NYI,3,2,SEA
11/16/2024,TOR,EDM,4,3,TOR
11/16/2024,MTL,CBJ,5,1,MTL
11/16/2024,TBL,NJD,4,0,TBL
11/16/2024,FLA,WPG,5,0,FLA
11/16/2024,PHI,BUF,5,2,PHI
11/16/2024,PIT,SJS,4,3,PIT
11/16/2024,CAR,OTT,4,0,CAR
11/16/2024,MIN,DAL,1,2,DAL
11/16/2024,LAK,DET,4,1,LAK
11/16/2024,VAN,CHI,4,1,VAN
11/17/2024,CAR,STL,4,1,CAR
11/17/2024,VGK,WSH,2,5,WSH
11/17/2024,SEA,NYR,0,2,NYR
11/17/2024,VAN,NSH,3,5,NSH
11/18/2024,BOS,CBJ,1,5,CBJ
11/18/2024,PHI,COL,2,3,COL
11/18/2024,MTL,EDM,3,0,MTL
11/18/2024,DAL,ANA,2,4,ANA
11/18/2024,UTA,WSH,2,6,WSH
11/18/2024,SJS,DET,5,4,SJS
11/19/2024,OTT,EDM,2,5,EDM
11/19/2024,PIT,TBL,2,3,TBL
11/19/2024,STL,MIN,2,4,MIN
11/19/2024,WPG,FLA,6,3,WPG
11/19/2024,CHI,ANA,2,3,ANA
11/19/2024,CGY,NYI,2,1,CGY
11/19/2024,VAN,NYR,3,4,NYR
11/20/2024,TOR,VGK,3,0,TOR
11/20/2024,PHI,CAR,1,4,CAR
11/20/2024,DAL,SJS,5,2,DAL
11/20/2024,SEA,NSH,3,0,SEA
11/20/2024,LAK,BUF,0,1,BUF
11/21/2024,BOS,UTA,1,0,BOS
11/21/2024,OTT,VGK,2,3,VGK
11/21/2024,DET,NYI,2,1,DET
11/21/2024,NJD,CAR,4,2,NJD
11/21/2024,WSH,COL,1,2,COL
11/21/2024,CBJ,TBL,7,6,CBJ
11/21/2024,STL,SJS,3,2,STL
11/21/2024,CHI,FLA,3,1,CHI
11/21/2024,CGY,NYR,3,2,CGY
11/21/2024,EDM,MIN,3,5,MIN
11/22/2024,PIT,WPG,1,4,WPG
11/22/2024,ANA,BUF,2,3,BUF
11/23/2024,PHI,CHI,3,2,PHI
11/23/2024,CGY,MIN,4,3,CGY
11/23/2024,LAK,SEA,2,1,LAK
11/23/2024,FLA,COL,4,7,COL
11/23/2024,MTL,VGK,2,6,VGK
11/23/2024,OTT,VAN,3,4,VAN
11/23/2024,DET,BOS,1,2,BOS
11/23/2024,TBL,DAL,2,4,DAL
11/23/2024,PIT,UTA,1,6,UTA
11/23/2024,WSH,NJD,2,3,NJD
11/23/2024,CBJ,CAR,5,4,CBJ
11/23/2024,NSH,WPG,4,1,NSH
11/23/2024,NYI,STL,3,1,NYI
11/23/2024,SJS,BUF,2,4,BUF
11/23/2024,EDM,NYR,6,2,EDM
11/24/2024,TOR,UTA,3,2,TOR
11/25/2024,TBL,COL,8,2,TBL
11/25/2024,FLA,WSH,1,4,WSH
11/25/2024,NJD,NSH,5,2,NJD
11/25/2024,NYR,STL,2,5,STL
11/25/2024,PHI,VGK,4,5,VGK
11/25/2024,CAR,DAL,6,4,CAR
11/25/2024,OTT,CGY,4,3,OTT
11/25/2024,NYI,DET,2,4,DET
11/25/2024,MIN,WPG,1,4,WPG
11/25/2024,ANA,SEA,2,3,SEA
11/25/2024,SJS,LAK,7,2,SJS
11/26/2024,BOS,VAN,0,2,VAN
11/26/2024,MTL,UTA,2,3,UTA
11/27/2024,BUF,MIN,0,1,MIN
11/27/2024,NJD,STL,0,3,STL
11/27/2024,CAR,NYR,4,3,CAR
11/27/2024,DET,CGY,2,1,DET
11/27/2024,TBL,WSH,4,5,WSH
11/27/2024,FLA,TOR,5,1,FLA
11/27/2024,NYI,BOS,3,6,BOS
11/27/2024,PIT,VAN,5,4,PIT
11/27/2024,CBJ,MTL,3,4,MTL
11/27/2024,NSH,PHI,2,3,PHI
11/27/2024,CHI,DAL,6,2,CHI
11/27/2024,COL,VGK,2,1,COL
11/27/2024,LAK,WPG,4,1,LAK
11/27/2024,SEA,ANA,2,5,ANA
11/27/2024,SJS,OTT,3,4,OTT
11/29/2024,PHI,NYR,3,1,PHI
11/29/2024,MIN,CHI,3,2,MIN
11/29/2024,BUF,VAN,3,4,VAN
11/29/2024,DET,NJD,4,5,NJD
11/29/2024,WSH,NYI,5,4,WSH
11/29/2024,CAR,FLA,3,6,FLA
11/29/2024,CBJ,CGY,5,2,CBJ
11/29/2024,NSH,TBL,2,3,TBL
11/29/2024,ANA,LAK,1,2,LAK
11/29/2024,SJS,SEA,8,5,SJS
11/29/2024,BOS,PIT,1,2,PIT
11/29/2024,VGK,WPG,4,3,VGK
11/29/2024,DAL,COL,5,3,DAL
11/29/2024,UTA,EDM,3,4,EDM
11/30/2024,NYR,MTL,4,3,NYR
11/30/2024,FLA,CAR,6,0,FLA
11/30/2024,TBL,TOR,3,5,TOR
11/30/2024,NJD,WSH,5,6,WSH
11/30/2024,PIT,CGY,6,2,PIT
11/30/2024,STL,PHI,2,3,PHI
11/30/2024,LAK,OTT,5,2,LAK
11/30/2024,NYI,BUF,3,0,NYI
11/30/2024,MIN,NSH,3,2,MIN
11/30/2024,COL,EDM,1,4,EDM
11/30/2024,VGK,UTA,0,6,UTA
11/30/2024,SEA,SJS,2,4,SJS
12/1/2024,DET,VAN,4,5,VAN
12/1/2024,BOS,MTL,6,3,BOS
12/1/2024,CHI,CBJ,3,6,CBJ
12/1/2024,DAL,WPG,3,1,DAL
12/1/2024,ANA,OTT,4,3,ANA
12/2/2024,NYR,NJD,1,5,NJD
12/2/2024,TOR,CHI,4,1,TOR
12/2/2024,UTA,DAL,1,2,DAL
12/3/2024,BOS,DET,3,2,BOS
12/3/2024,BUF,COL,4,5,COL
12/3/2024,MTL,NYI,2,1,MTL
12/3/2024,PIT,FLA,5,4,PIT
12/3/2024,WSH,SJS,1,2,SJS
12/3/2024,CAR,SEA,2,4,SEA
12/3/2024,MIN,VAN,3,2,MIN
12/3/2024,WPG,STL,1,4,STL
12/3/2024,CGY,CBJ,3,0,CGY
12/3/2024,VGK,EDM,1,0,VGK
12/4/2024,TOR,NSH,3,2,TOR
12/4/2024,CHI,BOS,2,4,BOS
12/4/2024,ANA,VGK,1,4,VGK
12/4/2024,LAK,DAL,3,2,LAK
12/5/2024,BUF,WPG,2,3,WPG
12/5/2024,MTL,NSH,3,0,MTL
12/5/2024,OTT,DET,2,1,OTT
12/5/2024,TBL,SJS,8,1,TBL
12/5/2024,PHI,FLA,5,7,FLA
12/5/2024,CAR,COL,5,3,CAR
12/5/2024,NYI,SEA,2,5,SEA
12/5/2024,CGY,STL,3,4,STL
12/5/2024,EDM,CBJ,6,3,EDM
12/6/2024,TOR,WSH,1,3,WSH
12/6/2024,NJD,SEA,3,2,NJD
12/6/2024,NYR,PIT,4,2,NYR
12/6/2024,VAN,CBJ,5,2,VAN
12/6/2024,VGK,DAL,3,2,VGK
12/6/2024,ANA,MIN,1,5,MIN
12/7/2024,BOS,PHI,4,3,BOS
12/7/2024,BUF,UTA,2,5,UTA
12/7/2024,CHI,WPG,2,4,WPG
12/7/2024,NYI,CAR,4,3,NYI
12/7/2024,FLA,SJS,3,1,FLA
12/7/2024,MTL,WSH,2,4,WSH
12/7/2024,OTT,NSH,3,1,OTT
12/7/2024,DET,COL,1,2,COL
12/7/2024,PIT,TOR,5,2,PIT
12/7/2024,LAK,MIN,4,1,LAK
12/7/2024,EDM,STL,4,2,EDM
12/8/2024,NYR,SEA,5,7,SEA
12/8/2024,VAN,TBL,2,4,TBL
12/8/2024,OTT,NYI,2,4,NYI
12/8/2024,WPG,CBJ,1,4,CBJ
12/8/2024,NJD,COL,0,4,COL
12/8/2024,PHI,UTA,2,4,UTA
12/8/2024,DAL,CGY,6,2,DAL
12/9/2024,BUF,DET,5,6,DET
12/9/2024,NYR,CHI,1,2,CHI
12/9/2024,MTL,ANA,3,2,MTL
12/10/2024,NJD,TOR,1,2,TOR
12/10/2024,PIT,COL,2,6,COL
12/10/2024,CAR,SJS,3,2,CAR
12/10/2024,CBJ,PHI,3,5,PHI
12/10/2024,NYI,LAK,1,3,LAK
12/10/2024,NSH,CGY,3,4,CGY
12/10/2024,WPG,BOS,8,1,WPG
12/10/2024,EDM,TBL,2,1,EDM
12/10/2024,UTA,MIN,4,5,MIN
12/10/2024,VAN,STL,3,4,STL
12/10/2024,SEA,FLA,1,2,FLA
12/11/2024,BUF,NYR,2,3,NYR
12/11/2024,OTT,ANA,5,1,OTT
12/12/2024,TOR,ANA,3,2,TOR
12/12/2024,MTL,PIT,2,9,PIT
12/12/2024,NJD,LAK,3,1,NJD
12/12/2024,PHI,DET,4,1,PHI
12/12/2024,CBJ,WSH,1,2,WSH
12/12/2024,NYI,CHI,5,4,NYI
12/12/2024,STL,SJS,3,4,SJS
12/12/2024,DAL,NSH,1,4,NSH
12/12/2024,WPG,VGK,2,3,VGK
12/12/2024,MIN,EDM,1,7,EDM
12/12/2024,COL,UTA,1,4,UTA
12/12/2024,CGY,TBL,3,8,TBL
12/12/2024,VAN,FLA,4,0,VAN
12/12/2024,SEA,BOS,5,1,SEA
12/13/2024,CAR,OTT,0,3,OTT
12/14/2024,NJD,CHI,4,1,NJD
12/14/2024,NYR,LAK,1,5,LAK
12/14/2024,MIN,PHI,4,1,MIN
12/14/2024,EDM,VGK,6,3,EDM
12/14/2024,OTT,PIT,3,2,OTT
12/14/2024,DET,TOR,4,2,DET
12/14/2024,WSH,BUF,4,2,WSH
12/14/2024,CBJ,ANA,3,4,ANA
12/14/2024,WPG,MTL,4,2,WPG
12/14/2024,DAL,STL,2,1,DAL
12/14/2024,COL,NSH,5,2,COL
12/14/2024,CGY,FLA,3,0,CGY
12/14/2024,VAN,BOS,1,5,BOS
12/14/2024,SJS,UTA,3,4,UTA
12/14/2024,SEA,TBL,1,5,TBL
12/15/2024,CHI,NYI,5,3,CHI
12/15/2024,TOR,BUF,5,3,TOR
12/15/2024,CAR,CBJ,4,1,CAR
12/15/2024,STL,NYR,3,2,STL
12/15/2024,MIN,VGK,2,3,VGK
12/16/2024,DAL,WSH,3,1,DAL
12/16/2024,EDM,FLA,5,6,FLA
12/16/2024,VAN,COL,3,1,VAN
12/17/2024,MTL,BUF,6,1,MTL
12/17/2024,TBL,CBJ,5,3,TBL
12/17/2024,PIT,LAK,3,2,PIT
12/17/2024,CAR,NYI,4,0,CAR
12/17/2024,STL,NJD,1,4,NJD
12/17/2024,NSH,NYR,2,0,NSH
12/17/2024,CHI,WSH,3,2,CHI
12/17/2024,CGY,BOS,3,4,BOS
12/17/2024,SEA,OTT,0,3,OTT
12/17/2024,SJS,WPG,3,4,WPG
12/18/2024,DET,PHI,6,4,DET
12/18/2024,DAL,TOR,3,5,TOR
12/18/2024,MIN,FLA,1,6,FLA
12/18/2024,UTA,VAN,3,2,UTA
12/18/2024,ANA,WPG,3,2,ANA
12/19/2024,TBL,STL,3,1,TBL
12/19/2024,CBJ,NJD,4,2,CBJ
12/19/2024,PHI,LAK,3,7,LAK
12/19/2024,NSH,PIT,4,5,PIT
12/19/2024,CHI,SEA,3,1,CHI
12/19/2024,CGY,OTT,2,3,OTT
12/19/2024,EDM,BOS,3,2,EDM
12/19/2024,VGK,VAN,3,1,VGK
12/19/2024,SJS,COL,2,4,COL
12/20/2024,BUF,TOR,3,6,TOR
12/20/2024,DET,MTL,3,4,MTL
12/20/2024,FLA,STL,2,1,FLA
12/20/2024,WSH,CAR,3,1,WSH
12/20/2024,DAL,NYR,1,3,NYR
12/20/2024,MIN,UTA,1,2,UTA
12/20/2024,ANA,COL,2,4,COL
12/21/2024,NSH,LAK,3,2,NSH
12/21/2024,CGY,CHI,6,4,CGY
12/21/2024,EDM,SJS,3,2,EDM
12/21/2024,BOS,BUF,3,1,BOS
12/21/2024,TOR,NYI,3,6,NYI
12/21/2024,MTL,DET,5,1,MTL
12/21/2024,NJD,PIT,3,0,NJD
12/21/2024,PHI,CBJ,5,4,PHI
12/21/2024,WPG,MIN,5,0,WPG
12/21/2024,VAN,OTT,4,5,OTT
12/21/2024,VGK,SEA,6,2,VGK
12/22/2024,NYR,CAR,1,3,CAR
12/22/2024,TBL,FLA,2,4,FLA
12/22/2024,WSH,LAK,3,1,WSH
12/22/2024,UTA,ANA,4,5,ANA
12/22/2024,COL,SEA,5,2,COL
12/22/2024,EDM,OTT,3,1,EDM
12/23/2024,NJD,NYR,5,0,NJD
12/23/2024,TOR,WPG,2,5,WPG
12/23/2024,BOS,WSH,4,1,BOS
12/23/2024,DET,STL,0,4,STL
12/23/2024,FLA,TBL,0,4,TBL
12/23/2024,PIT,PHI,7,3,PIT
12/23/2024,CBJ,MTL,5,4,CBJ
12/23/2024,NYI,BUF,1,7,BUF
12/23/2024,NSH,CAR,5,2,NSH
12/23/2024,MIN,CHI,4,3,MIN
12/23/2024,VAN,SJS,4,3,VAN
12/23/2024,UTA,DAL,2,3,DAL
12/23/2024,VGK,ANA,3,1,VGK
12/27/2024,BUF,CHI,6,2,BUF
12/27/2024,DET,TOR,2,5,TOR
12/27/2024,NJD,CAR,4,2,NJD
12/27/2024,CBJ,BOS,6,2,CBJ
12/27/2024,STL,NSH,7,4,STL
12/27/2024,DAL,MIN,2,3,MIN
12/27/2024,UTA,COL,1,4,COL
12/27/2024,SJS,VGK,3,6,VGK
12/28/2024,FLA,MTL,0,4,MTL
12/28/2024,VAN,SEA,4,5,SEA
12/28/2024,ANA,PHI,1,3,PHI
12/28/2024,LAK,EDM,4,3,LAK
12/28/2024,BOS,CBJ,4,0,BOS
12/28/2024,TOR,WSH,2,5,WSH
12/28/2024,TBL,NYR,6,2,TBL
12/28/2024,CAR,NJD,5,2,CAR
12/28/2024,WPG,OTT,4,2,WPG
12/28/2024,NYI,PIT,6,3,NYI
12/28/2024,SJS,CGY,1,3,CGY
12/29/2024,STL,BUF,2,4,BUF
12/29/2024,ANA,EDM,5,3,ANA
12/29/2024,DET,WSH,4,2,DET
12/29/2024,TBL,MTL,2,5,MTL
12/29/2024,PIT,NYI,3,2,PIT
12/29/2024,MIN,OTT,1,3,OTT
12/29/2024,VGK,CGY,3,0,VGK
12/29/2024,CHI,DAL,1,5,DAL
12/29/2024,LAK,PHI,5,4,LAK
12/30/2024,FLA,NYR,5,3,FLA
12/30/2024,WPG,NSH,3,0,WPG
12/30/2024,SEA,UTA,5,2,SEA
12/31/2024,WSH,BOS,3,1,WSH
12/31/2024,TOR,NYI,3,1,TOR
12/31/2024,VGK,MTL,2,3,MTL
12/31/2024,CHI,STL,2,6,STL
12/31/2024,DET,PIT,4,2,DET
12/31/2024,CBJ,CAR,4,3,CBJ
12/31/2024,DAL,BUF,4,2,DAL
12/31/2024,MIN,NSH,5,3,MIN
12/31/2024,COL,WPG,5,2,COL
12/31/2024,ANA,NJD,3,2,ANA
12/31/2024,SJS,PHI,0,4,PHI
12/31/2024,CGY,VAN,3,1,CGY
12/31/2024,EDM,UTA,4,1,EDM
1/1/2025,LAK,NJD,3,0,LAK
1/2/2025,FLA,CAR,1,3,CAR
1/2/2025,NYR,BOS,2,1,NYR
1/2/2025,WSH,MIN,3,4,MIN
1/2/2025,CBJ,DET,4,5,DET
1/2/2025,NYI,TOR,1,2,TOR
1/2/2025,DAL,OTT,4,2,DAL
1/2/2025,WPG,ANA,3,4,ANA
1/2/2025,COL,BUF,6,5,COL
1/2/2025,CGY,UTA,3,5,UTA
1/2/2025,VGK,PHI,5,2,VGK
1/2/2025,SEA,VAN,3,4,VAN
1/2/2025,SJS,TBL,2,1,SJS
1/3/2025,FLA,PIT,3,2,FLA
1/3/2025,CHI,MTL,4,2,CHI
1/3/2025,STL,OTT,4,0,STL
1/3/2025,EDM,ANA,3,2,EDM
1/3/2025,VAN,NSH,0,3,NSH
1/4/2025,WSH,NYR,7,4,WSH
1/4/2025,SJS,NJD,3,2,SJS
1/4/2025,WPG,DET,2,4,DET
1/4/2025,TOR,BOS,6,4,TOR
1/4/2025,CAR,MIN,0,4,MIN
1/4/2025,CBJ,STL,6,4,CBJ
1/4/2025,COL,MTL,1,2,MTL
1/4/2025,DAL,UTA,3,2,DAL
1/4/2025,LAK,TBL,2,1,LAK
1/4/2025,CGY,NSH,1,4,NSH
1/4/2025,VGK,BUF,3,1,VGK
1/4/2025,SEA,EDM,2,4,EDM
1/5/2025,CHI,NYR,2,6,NYR
1/5/2025,BOS,NYI,4,5,NYI
1/5/2025,CAR,PIT,4,3,CAR
1/5/2025,TOR,PHI,3,2,TOR
1/5/2025,ANA,TBL,4,1,ANA
1/6/2025,BUF,WSH,4,3,BUF
1/6/2025,MTL,VAN,5,4,MTL
1/6/2025,COL,FLA,3,1,COL
1/6/2025,SEA,NJD,2,3,NJD
1/7/2025,TBL,CAR,3,2,TBL
1/7/2025,BOS,EDM,0,4,EDM
1/7/2025,DET,OTT,3,2,DET
1/7/2025,NYR,DAL,4,5,DAL
1/7/2025,PIT,CBJ,3,4,CBJ
1/7/2025,PHI,TOR,2,3,TOR
1/7/2025,MIN,STL,6,4,MIN
1/7/2025,WPG,NSH,5,2,WPG
1/7/2025,ANA,CGY,2,3,CGY
1/7/2025,SJS,VGK,2,4,VGK
1/8/2025,WSH,VAN,2,1,WSH
1/8/2025,CHI,COL,3,1,CHI
1/8/2025,UTA,FLA,1,4,FLA
1/9/2025,OTT,BUF,0,4,BUF
1/9/2025,TBL,BOS,4,1,TBL
1/9/2025,NYR,NJD,3,2,NYR
1/9/2025,PHI,DAL,1,4,DAL
1/9/2025,PIT,EDM,5,3,PIT
1/9/2025,CBJ,SEA,6,2,CBJ
1/9/2025,CAR,TOR,6,3,CAR
1/9/2025,STL,ANA,6,2,STL
1/9/2025,MIN,COL,1,6,COL
1/9/2025,VGK,NYI,0,4,NYI
1/10/2025,DET,CHI,5,3,DET
1/10/2025,WSH,MTL,2,3,MTL
1/10/2025,CAR,VAN,2,0,CAR
1/10/2025,WPG,LAK,1,2,LAK
1/10/2025,UTA,SJS,2,1,UTA
1/11/2025,FLA,BOS,3,4,BOS
1/11/2025,BUF,SEA,2,6,SEA
1/11/2025,PIT,OTT,0,5,OTT
1/11/2025,TOR,VAN,0,3,VAN
1/11/2025,MTL,DAL,1,2,DAL
1/11/2025,NJD,TBL,3,2,NJD
1/11/2025,PHI,ANA,6,0,PHI
1/11/2025,CHI,EDM,3,4,EDM
1/11/2025,STL,CBJ,1,2,CBJ
1/11/2025,WPG,COL,3,0,WPG
1/11/2025,NSH,WSH,1,4,WSH
1/11/2025,UTA,NYI,1,2,NYI
1/11/2025,CGY,LAK,2,1,CGY
1/11/2025,VGK,NYR,1,2,NYR
1/11/2025,SJS,MIN,1,3,MIN
1/12/2025,DET,SEA,6,2,DET
1/12/2025,OTT,DAL,3,2,OTT
1/12/2025,PIT,TBL,2,5,TBL
1/12/2025,CAR,ANA,2,3,ANA
1/12/2025,VGK,MIN,4,1,VGK
1/13/2025,PHI,FLA,4,3,PHI
1/13/2025,CHI,CGY,2,5,CGY
1/13/2025,EDM,LAK,1,0,EDM
1/14/2025,BOS,TBL,6,2,BOS
1/14/2025,TOR,DAL,1,4,DAL
1/14/2025,DET,SJS,3,6,SJS
1/14/2025,PIT,SEA,2,4,SEA
1/14/2025,WSH,ANA,3,0,WSH
1/14/2025,CBJ,PHI,3,2,CBJ
1/14/2025,NJD,FLA,1,2,FLA
1/14/2025,NYI,OTT,0,2,OTT
1/14/2025,STL,CGY,2,1,STL
1/14/2025,NSH,VGK,5,3,NSH
1/14/2025,WPG,VAN,6,1,WPG
1/14/2025,COL,NYR,3,2,COL
1/14/2025,UTA,MTL,3,5,MTL
1/15/2025,BUF,CAR,4,2,BUF
1/15/2025,MIN,EDM,3,5,EDM
1/16/2025,TOR,NJD,4,3,TOR
1/16/2025,OTT,WSH,0,1,WSH
1/16/2025,TBL,ANA,4,3,TBL
1/16/2025,FLA,DET,2,5,DET
1/16/2025,CBJ,SJS,4,1,CBJ
1/16/2025,NYI,PHI,3,5,PHI
1/16/2025,STL,CGY,4,1,STL
1/16/2025,NSH,CHI,3,2,NSH
1/16/2025,DAL,MTL,1,3,MTL
1/16/2025,WPG,SEA,2,1,WPG
1/16/2025,UTA,NYR,3,5,NYR
1/16/2025,COL,EDM,3,4,EDM
1/16/2025,VAN,LAK,1,5,LAK
1/17/2025,BUF,PIT,2,5,PIT
1/17/2025,CAR,VGK,3,2,CAR
1/18/2025,NJD,PHI,1,3,PHI
1/18/2025,OTT,BOS,6,5,OTT
1/18/2025,COL,DAL,6,3,COL
1/18/2025,FLA,ANA,3,0,FLA
1/18/2025,MTL,TOR,3,7,TOR
1/18/2025,TBL,DET,5,1,TBL
1/18/2025,NYR,CBJ,1,0,NYR
1/18/2025,WSH,PIT,4,1,WSH
1/18/2025,WPG,CGY,1,3,CGY
1/18/2025,NYI,SJS,4,1,NYI
1/18/2025,CHI,VGK,5,3,CHI
1/18/2025,NSH,MIN,6,2,NSH
1/18/2025,UTA,STL,4,2,UTA
1/18/2025,VAN,EDM,3,2,VAN
1/18/2025,SEA,LAK,4,2,SEA
1/19/2025,NJD,OTT,1,2,OTT
1/19/2025,MTL,NYR,5,4,MTL
1/19/2025,DAL,DET,4,1,DAL
1/20/2025,BOS,SJS,6,3,BOS
1/20/2025,COL,MIN,1,3,MIN
1/20/2025,SEA,BUF,6,4,SEA
1/20/2025,VGK,STL,4,5,STL
1/20/2025,TOR,TBL,5,3,TOR
1/20/2025,NYI,CBJ,3,1,NYI
1/20/2025,CHI,CAR,3,4,CAR
1/20/2025,UTA,WPG,5,2,UTA
1/20/2025,LAK,PIT,1,5,PIT
1/21/2025,MTL,TBL,3,2,MTL
1/21/2025,NYR,OTT,5,0,NYR
1/21/2025,PHI,DET,2,1,PHI
1/21/2025,NSH,SJS,7,5,NSH
1/21/2025,DAL,CAR,1,2,CAR
1/21/2025,EDM,WSH,2,3,WSH
1/21/2025,VAN,BUF,2,3,BUF
1/21/2025,ANA,FLA,2,5,FLA
1/22/2025,NJD,BOS,5,1,NJD
1/22/2025,TOR,CBJ,1,5,CBJ
1/22/2025,COL,WPG,2,3,WPG
1/22/2025,LAK,FLA,2,1,LAK
1/23/2025,BOS,OTT,2,0,BOS
1/23/2025,DET,MTL,4,2,DET
1/23/2025,NYR,PHI,6,1,NYR
1/23/2025,CAR,CBJ,7,4,CAR
1/23/2025,STL,VGK,2,4,VGK
1/23/2025,MIN,UTA,0,4,UTA
1/23/2025,CGY,BUF,5,2,CGY
1/23/2025,EDM,VAN,6,2,EDM
1/23/2025,ANA,PIT,5,1,ANA
1/23/2025,SEA,WSH,0,3,WSH
1/23/2025,SJS,NSH,5,6,NSH
1/24/2025,NYI,PHI,3,1,NYI
1/24/2025,DAL,VGK,4,3,DAL
1/24/2025,CHI,TBL,3,4,TBL
1/24/2025,WPG,UTA,5,2,WPG
1/25/2025,BOS,COL,3,1,BOS
1/25/2025,EDM,BUF,3,2,EDM
1/25/2025,SEA,PIT,4,1,SEA
1/25/2025,MTL,NJD,3,4,NJD
1/25/2025,OTT,TOR,2,1,OTT
1/25/2025,DET,TBL,2,0,DET
1/25/2025,CBJ,LAK,3,2,CBJ
1/25/2025,STL,DAL,0,2,DAL
1/25/2025,MIN,CGY,4,5,CGY
1/25/2025,NYI,CAR,3,2,NYI
1/25/2025,VAN,WSH,2,1,VAN
1/25/2025,ANA,NSH,5,2,ANA
1/25/2025,SJS,FLA,2,7,FLA
1/26/2025,NYR,COL,4,5,COL
1/26/2025,OTT,UTA,3,1,OTT
1/26/2025,WPG,CGY,5,2,WPG
1/26/2025,CHI,MIN,2,4,MIN
1/26/2025,VGK,FLA,4,1,VGK
1/27/2025,DET,LAK,5,2,DET
1/27/2025,PHI,NJD,4,2,PHI
1/27/2025,STL,VAN,2,5,VAN
1/27/2025,EDM,SEA,4,2,EDM
1/27/2025,SJS,PIT,2,1,SJS
1/28/2025,BUF,BOS,7,2,BUF
1/28/2025,MTL,WPG,1,4,WPG
1/28/2025,TBL,CHI,1,4,CHI
1/28/2025,NYR,CAR,0,4,CAR
1/28/2025,NYI,COL,5,2,NYI
1/28/2025,CGY,WSH,1,3,WSH
1/28/2025,VGK,DAL,3,4,DAL
1/28/2025,SEA,ANA,4,6,ANA
1/29/2025,TOR,MIN,1,3,MIN
1/29/2025,FLA,LAK,3,0,FLA
1/29/2025,NJD,PHI,5,0,NJD
1/29/2025,NSH,VAN,1,3,VAN
1/29/2025,UTA,PIT,2,3,PIT
1/30/2025,BOS,WPG,2,6,WPG
1/30/2025,MTL,MIN,0,4,MIN
1/30/2025,OTT,WSH,5,4,OTT
1/30/2025,TBL,LAK,3,0,TBL
1/30/2025,CAR,CHI,3,2,CAR
1/30/2025,PHI,NYI,0,3,NYI
1/30/2025,CGY,ANA,4,1,CGY
1/30/2025,EDM,DET,2,3,DET
1/30/2025,VGK,CBJ,1,2,CBJ
1/30/2025,SEA,SJS,6,2,SEA
1/31/2025,BUF,NSH,4,3,BUF
1/31/2025,DAL,VAN,5,3,DAL
1/31/2025,COL,STL,5,0,COL
1/31/2025,UTA,CBJ,2,3,CBJ
2/1/2025,FLA,CHI,5,1,FLA
2/1/2025,BOS,NYR,6,3,BOS
2/1/2025,OTT,MIN,6,0,OTT
2/1/2025,TBL,NYI,2,3,NYI
2/1/2025,PIT,NSH,3,0,PIT
2/1/2025,WSH,WPG,4,5,WPG
2/1/2025,CAR,LAK,2,4,LAK
2/1/2025,EDM,TOR,3,4,TOR
2/1/2025,CGY,DET,1,3,DET
2/2/2025,BUF,NJD,4,3,BUF
2/2/2025,COL,PHI,2,0,COL
2/2/2025,ANA,MTL,3,2,ANA
2/2/2025,FLA,NYI,6,3,FLA
2/2/2025,NYR,VGK,4,2,NYR
2/2/2025,DAL,CBJ,5,3,DAL
2/2/2025,UTA,STL,1,2,STL
2/2/2025,VAN,DET,2,3,DET
2/2/2025,SEA,CGY,2,3,CGY
2/3/2025,NSH,OTT,2,5,OTT
2/4/2025,BOS,MIN,3,0,BOS
2/4/2025,BUF,CBJ,3,2,BUF
2/4/2025,TBL,OTT,4,3,TBL
2/4/2025,PIT,NJD,2,3,NJD
2/4/2025,WSH,FLA,6,3,WSH
2/4/2025,NYI,VGK,2,1,NYI
2/4/2025,STL,EDM,2,3,EDM
2/4/2025,WPG,CAR,3,0,WPG
2/4/2025,CGY,TOR,3,6,TOR
2/4/2025,UTA,PHI,3,2,UTA
2/4/2025,VAN,COL,3,0,VAN
2/4/2025,SEA,DET,4,5,DET
2/4/2025,ANA,DAL,2,1,ANA
2/4/2025,SJS,MTL,3,4,MTL
2/5/2025,NYR,BOS,3,2,NYR
2/5/2025,CHI,EDM,3,4,EDM
2/5/2025,LAK,MTL,6,3,LAK
2/6/2025,TBL,OTT,5,1,TBL
2/6/2025,NJD,VGK,1,3,VGK
2/6/2025,PHI,WSH,3,4,WSH
2/6/2025,CBJ,UTA,2,3,UTA
2/6/2025,MIN,CAR,2,1,MIN
